Year,3-month,6-month,3-year,10-year,30-year
1953,1.931,,2.47,2.85,
1954,0.953,,1.63,2.4,
1955,1.753,,2.47,2.82,
1956,2.658,,3.19,3.18,
1957,3.267,,3.98,3.65,
1958,1.839,,2.84,3.32,
1959,3.405,3.832,4.46,4.33,
1960,2.93,3.25,3.98,4.12,
1961,2.38,2.61,3.54,3.88,
1962,2.78,2.91,3.47,3.95,
1963,3.16,3.25,3.67,4,
1964,3.56,3.69,4.03,4.19,
1965,3.95,4.05,4.22,4.28,
1966,4.88,5.08,5.23,4.93,
1967,4.32,4.63,5.03,5.07,
1968,5.34,5.47,5.68,5.64,
1969,6.68,6.85,7.02,6.67,
1970,6.43,6.53,7.29,7.35,
1971,4.35,4.51,5.66,6.16,
1972,4.07,4.47,5.72,6.21,
1973,7.04,7.18,6.96,6.85,
1974,7.89,7.93,7.84,7.56,
1975,5.84,6.12,7.5,7.99,
1976,4.99,5.27,6.77,7.61,
1977,5.27,5.52,6.68,7.42,7.75
1978,7.22,7.58,8.29,8.41,8.49
1979,10.05,10.02,9.7,9.43,9.28
1980,11.51,11.37,11.51,11.43,11.27
1981,14.03,13.78,14.46,13.92,13.45
1982,10.69,11.08,12.93,13.01,12.76
1983,8.63,8.75,10.45,11.1,11.18
1984,9.53,9.77,11.92,12.46,12.41
1985,7.47,7.64,9.64,10.62,10.79
1986,5.98,6.03,7.06,7.67,7.78
1987,5.82,6.05,7.68,8.39,8.59
1988,6.69,6.92,8.26,8.85,8.96
1989,8.12,8.04,8.55,8.49,8.45
1990,7.51,7.47,8.26,8.55,8.61
1991,5.42,5.49,6.82,7.86,8.14
1992,3.45,3.57,5.3,7.01,7.67
1993,3.02,3.14,4.44,5.87,6.59
1994,4.29,4.66,6.27,7.09,7.37
1995,5.51,5.59,6.25,6.57,6.88
1996,5.02,5.09,5.99,6.44,6.71
1997,5.07,5.18,6.1,6.35,6.61
1998,4.81,4.85,5.14,5.26,5.58
1999,4.66,4.76,5.49,5.65,5.87
2000,5.85,5.92,6.22,6.03,5.94
2001,3.44,3.39,4.09,5.02,5.49
2002,1.62,1.69,3.1,4.61,5.43
2003,1.01,1.06,2.1,4.01,
2004,1.38,1.57,2.78,4.27,
2005,3.16,3.4,3.93,4.29,
2006,4.73,4.8,4.77,4.8,4.91
2007,4.41,4.48,4.35,4.63,4.84
2008,1.48,1.71,2.24,3.66,4.28
2009,0.16,0.29,1.43,3.26,4.08
2010,0.14,0.2,1.11,3.22,4.25
