Filing Week,Week Ending Date,Returns
31,11/20/2020,168650000
26,10/16/2020,165624000
14,7/24/2020,152875000
13,7/17/2020,151782000
12,7/10/2020,147142000
11,7/3/2020,142375000
10,6/26/2020,139938000
9,6/19/2020,138272000
8,6/12/2020,136509000
7,6/5/2020,135229000
6,5/29/2020,133811000
5,5/22/2020,132351000
4,5/15/2020,130496000
3,5/8/2020,128204000
2,5/1/2020,125474000
1,4/24/2020,121892000
0,4/17/2020,115961000
-1,4/10/2020,103986000
-2,4/3/2020,97366000
-3,3/27/2020,90617000
-4,3/20/2020,84222000
-5,3/13/2020,76191000
-6,3/6/2020,67998000
-7,2/28/2020,59305000
-8,2/21/2020,49888000
-9,2/14/2020,39622000
-10,2/7/2020,28662000
-11,1/31/2020,15777000
36,12/27/2019,155798000
31,11/22/2019,155402000
26,10/18/2019,154297000
3,5/10/2019,141567000
2,5/3/2019,141001000
1,4/26/2019,139364000
0,4/19/2019,137233000
-1,4/12/2019,119427000
-2,4/5/2019,103460000
-3,3/29/2019,92861000
-4,3/22/2019,84075000
-5,3/15/2019,75881000
-6,3/8/2019,67721000
-7,3/1/2019,59223000
-8,2/22/2019,49923000
-9,2/15/2019,39747000
-10,2/8/2019,28764000
-11,2/1/2019,16035000
36,12/28/2018,154865000
31,11/23/2018,154444000
26,10/19/2018,153383000
3,5/11/2018,141531000
2,5/4/2018,140895000
1,4/27/2018,139903000
0,4/20/2018,136919000
-1,4/13/2018,118580000
-2,4/6/2018,103762000
-3,3/30/2018,94139000
-4,3/23/2018,85689000
-5,3/16/2018,77795000
-6,3/9/2018,69484000
-7,3/2/2018,61150000
-8,2/23/2018,51740000
-9,2/16/2018,41738000
-10,2/9/2018,30881000
-11,2/2/2018,18302000
36,12/29/2017,152235000
19,9/1/2017,145329000
3,5/12/2017,139586000
2,5/5/2017,138945000
1,4/28/2017,137496000
0,4/21/2017,135638000
-1,4/7/2017,103612000
-2,3/31/2017,93675000
-3,3/24/2017,85251000
-4,3/17/2017,77475000
-5,3/10/2017,69403000
-6,3/3/2017,61063000
-7,2/24/2017,52096000
-8,2/17/2017,42502000
-9,2/10/2017,32090000
-10,2/3/2017,20181000
-11,1/27/2017,8912000
36,12/30/2016,152544000
19,9/2/2016,145734000
4,5/13/2016,140258000
3,5/6/2016,139620000
1,4/22/2016,138827000
0,4/15/2016,136528000
-1,4/8/2016,107452000
-2,4/1/2016,97631000
-3,3/25/2016,89412000
-4,3/18/2016,81960000
-5,3/11/2016,74456000
-6,3/4/2016,66723000
-7,2/26/2016,58304000
-8,2/19/2016,49020000
-9,2/12/2016,38737000
-10,2/5/2016,26670000
-11,1/29/2016,13288000
36,12/25/2015,150927000
31,11/20/2015,150497000
28,10/30/2015,150062000
23,9/25/2015,145088000
19,8/28/2015,143780000
15,7/31/2015,142603000
4,5/15/2015,138209000
3,5/8/2015,137312000
2,5/1/2015,136191000
1,4/24/2015,134209000
0,4/17/2015,132268000
-1,4/10/2015,110754000
-2,4/3/2015,99055000
-3,3/27/2015,90256000
-4,3/20/2015,82289000
-5,3/13/2015,74455000
-6,3/6/2015,66700000
-7,2/27/2015,58528000
-8,2/20/2015,49651000
-9,2/13/2015,39699000
-10,2/6/2015,27517000
-11,1/30/2015,14026000
36,12/26/2014,149685000
31,11/21/2014,149215000
28,10/31/2014,148787000
23,9/26/2014,143912000
19,8/29/2014,142578000
15,8/1/2014,141336000
4,5/16/2014,136887000
3,5/9/2014,136244000
2,5/2/2014,135504000
1,4/25/2014,134334000
0,4/18/2014,131170000
-1,4/11/2014,112741000
-2,4/4/2014,99848000
-3,3/28/2014,90762000
-4,3/21/2014,82823000
-5,3/14/2014,75101000
-6,3/7/2014,67183000
-7,2/28/2014,58883000
-8,2/21/2014,49558000
-9,2/14/2014,39224000
-10,2/7/2014,27249000
-11,1/31/2014,11169000
36,12/27/2013,148035000
31,11/22/2013,147744000
3,5/10/2013,134349000
2,5/3/2013,133674000
1,4/26/2013,132601000
0,4/19/2013,129945000
-1,4/12/2013,108574000
-2,4/5/2013,96573000
-3,3/29/2013,88280000
-4,3/22/2013,80467000
-5,3/15/2013,73004000
-6,3/8/2013,65156000
-7,3/1/2013,55988000
-8,2/22/2013,49448000
-9,2/15/2013,39531000
-10,2/8/2013,26589000
36,12/28/2012,148203000
31,11/23/2012,147874000
3,5/11/2012,135473000
2,5/4/2012,134623000
1,4/27/2012,133530000
0,4/20/2012,130873000
-1,4/13/2012,110862000
-2,4/6/2012,99979000
-3,3/30/2012,91900000
-4,3/23/2012,84918000
-5,3/16/2012,78348000
-6,3/9/2012,71567000
-7,3/2/2012,64265000
